timestamp,airport_code,airport_name,latitude,longitude,temperature,feels_like,humidity,wind_speed,wind_direction,wind_direction_symbol,gust_speed,pressure,precipitation,rain_probability,snow_probability,uv_index,dewpoint,visibility,cloud,condition,condition_code
2024-12-01 00:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,26.0,28.7,83,3.6,82,E,3.4,1008.0,1.06,100,0,0.0,22.8,10.0,100,Light rain shower,1240
2024-12-01 01:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,25.9,28.7,84,6.1,118,ESE,5.9,1008.0,0.85,100,0,0.0,23.0,10.0,67,Light rain shower,1240
2024-12-01 02:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,26.0,28.9,83,9.0,105,ESE,8.1,1008.0,0.13,100,0,0.0,23.0,10.0,100,Patchy rain possible,1063
2024-12-01 03:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,26.0,28.9,83,11.2,94,E,10.0,1007.0,0.01,45,0,0.0,22.9,10.0,100,Patchy rain possible,1063
2024-12-01 04:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,25.7,28.5,85,14.8,85,E,13.3,1007.0,0.4,100,0,0.0,23.0,9.0,82,Patchy rain possible,1063
2024-12-01 05:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,25.5,28.2,86,16.6,70,ENE,14.8,1008.0,0.36,100,0,0.0,22.9,10.0,51,Light rain shower,1240
2024-12-01 06:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,25.0,27.6,88,15.8,65,ENE,14.0,1009.0,0.44,100,0,5.0,22.8,10.0,67,Light rain shower,1240
2024-12-01 07:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,24.6,27.1,89,10.8,75,ENE,9.6,1009.0,0.67,100,0,5.0,22.7,10.0,65,Light rain shower,1240
2024-12-01 08:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,24.7,27.2,88,7.2,94,E,6.4,1010.0,0.08,45,0,5.0,22.7,10.0,88,Patchy rain possible,1063
2024-12-01 09:00,VTG,Sân bay Vũng Tàu,10.3725004196,107.0950012207,25.2,27.8,86,9.4,84,E,7.9,1010.0,0.01,45,0,6.0,22.7,10.0,83,Patchy rain possible,1063
